speechiness,loudness,danceability,target
317,-9451,457,1
399,-6475,582,1
479,-2023,525,1
606,-5985,210,1
1640,-7924,692,1
291,-6253,525,1
694,-7402,445,1
298,-3875,456,1
833,-5854,456,1
772,-4353,456,1
368,-8413,892,1
288,-5625,558,1
407,-9760,502,1
277,-8900,595,1
946,-6855,180,1
298,-9447,740,1
1110,-2497,464,1
514,-7340,651,1
735,-6136,525,1
288,-7193,571,1
1030,-7574,373,1
317,-5659,395,1
2620,-6401,702,1
829,-9788,833,1
612,-5024,459,1
617,-4404,342,1
452,-9799,600,1
363,-5969,567,1
1100,-14296,801,1
259,-6706,604,1
301,-7481,542,1
334,-7118,644,1
316,-10494,415,1
1200,-4563,525,1
898,-7240,417,1
492,-8199,398,1
694,-2919,167,1
513,-8192,772,1
384,-3501,575,1
594,-3938,472,1
347,-14722,653,1
471,-11342,749,1
651,-6147,469,1
1200,-4563,525,1
438,-10792,557,1
346,-5466,705,1
379,-17167,162,1
2280,-3369,603,1
322,-3972,648,1
414,-7196,306,1
368,-9118,815,1
413,-7057,511,1
495,-5628,744,1
325,-12437,523,1
415,-4570,472,1
512,-4913,575,1
323,-7479,584,1
317,-6261,724,1
1570,-3382,406,1
561,-9361,533,1
471,-8871,455,1
335,-7813,237,1
672,-6345,224,1
910,-6865,529,1
615,-5765,536,1
3780,-6509,447,1
460,-13283,716,1
777,-3752,252,1
823,-10323,605,1
601,-11548,899,1
346,-6667,462,1
369,-12814,150,1
423,-9172,447,1
362,-7113,375,1
365,-19740,252,1
654,-11948,345,1
299,-9064,431,1
491,-3267,398,1
284,-9848,560,1
311,-4551,595,1
529,-21903,277,1
310,-12442,589,1
400,-11265,833,1
946,-6855,180,1
1590,-5407,513,1
450,-9412,540,1
921,-5962,705,1
1590,-7850,664,1
522,-4609,324,1
596,-3913,506,1
404,-5190,669,1
438,-6135,604,1
274,-11100,515,1
324,-12034,652,1
500,-7348,664,1
363,-6074,435,1
4240,-7438,677,1
773,-5593,552,1
278,-9068,566,1
2000,-10452,875,1
1590,-5407,513,1
298,-9647,567,1
358,-10025,724,1
403,-10011,766,1
374,-9670,286,1
483,-8334,825,1
287,-8684,550,1
879,-5140,275,1
427,-21361,709,1
381,-11002,634,1
405,-24210,195,1
402,-2553,542,1
427,-5009,774,1
528,-2945,359,1
419,-6886,599,1
331,-9897,767,1
357,-7866,545,1
565,-6406,801,1
303,-7066,568,1
396,-8970,545,1
567,-9387,488,1
491,-5436,717,1
317,-6261,724,1
343,-10196,470,1
2430,-6211,356,1
645,-4818,761,1
380,-19867,300,1
1460,-4330,289,1
1280,-3646,616,1
678,-9310,688,1
274,-5815,653,1
494,-15561,683,1
413,-8118,615,1
860,-12900,747,1
417,-7612,536,1
2190,-3929,541,1
451,-8739,567,1
305,-6644,713,1
266,-9083,590,1
610,-4881,167,1
609,-4091,553,1
318,-18496,351,1
240,-7943,577,1
380,-4405,758,1
391,-7748,466,1
684,-5994,493,1
285,-6086,592,1
291,-9051,678,1
336,-7805,574,1
663,-9576,505,1
319,-5457,505,1
2870,-9144,535,1
350,-14665,106,1
735,-8007,403,1
755,-5209,543,1
1480,-5434,428,1
2170,-3686,377,1
548,-7287,593,1
312,-8106,280,1
1550,-11812,866,1
492,-11177,415,1
