speechiness,loudness,danceability,energy,,target,
473,-10429,732,710,,7,710000
636,-4314,315,826,,7,826000
399,-6475,582,817,,7,817000
1330,-4529,470,881,,7,881000
904,-7842,437,864,,7,864000
290,-5879,594,752,,7,752000
539,-4111,446,973,,7,973000
319,-8265,523,698,,7,698000
295,-4803,595,717,,7,717000
286,-9119,601,532,,7,532000
772,-4353,456,961,,7,961000
1050,-5626,506,948,,7,948000
413,-7250,501,824,,7,824000
498,-4147,549,860,,7,860000
336,-7805,574,691,,7,691000
336,-6004,494,637,,7,637000
403,-10016,778,373,,7,373000
1170,-3795,360,895,,7,895000
439,-6102,347,921,,7,921000
338,-10696,290,399,,7,399000
407,-4066,378,896,,7,896000
278,-10830,467,332,,7,332000
546,-5413,498,889,,7,889000
945,-4652,417,706,,7,706000
341,-5121,564,864,,7,864000
473,-2248,398,890,,7,890000
302,-6520,414,476,,7,476000
283,-7814,503,614,,7,614000
411,-15616,396,436,,7,436000
395,-6524,437,669,,7,669000
919,-12412,438,710,,7,710000
1610,-6472,933,528,,7,528000
1210,-3719,278,931,,7,931000
534,-8124,776,763,,7,763000
840,-12604,791,410,,7,410000
395,-8208,799,789,,7,789000
847,-7703,799,783,,7,783000
1140,-3790,660,835,,7,835000
512,-3414,230,888,,7,888000
627,-8003,906,450,,7,450000
317,-8777,430,637,,7,637000
258,-4602,550,697,,7,697000
449,-11412,296,463,,7,463000
646,-8263,515,871,,7,871000
1460,-4866,696,830,,7,830000
855,-3435,613,953,,7,953000
873,-4237,389,894,,7,894000
283,-11753,467,432,,7,432000
546,-11636,509,474,,7,474000
346,-9309,476,666,,7,666000
317,-4247,721,746,,7,746000
352,-12082,415,456,,7,456000
426,-7325,525,954,,7,954000
945,-4652,417,706,,7,706000
348,-9714,417,671,,7,671000
448,-7766,454,910,,7,910000
1130,-1742,323,982,,7,982000
568,-16816,312,411,,7,411000
354,-8708,527,871,,7,871000
351,-5996,391,727,,7,727000
538,-5015,450,794,,7,794000
672,-6345,224,889,,7,889000
383,-3739,476,934,,7,934000
619,-6094,584,804,,7,804000
362,-8867,755,876,,7,876000
725,-4253,352,912,,7,912000
665,-5580,526,754,,7,754000
319,-5787,483,931,,7,931000
364,-7877,520,457,,7,457000
329,-8182,385,673,,7,673000
346,-5648,646,882,,7,882000
632,-4880,615,785,,7,785000
483,-5103,473,757,,7,757000
275,-6830,461,716,,7,716000
