speechiness,loudness,danceability,target
829,-4475,814,3
2910,-5284,664,3
4860,-11308,842,3
2340,-7227,632,3
2630,-8116,846,3
5130,-8906,924,3
2640,-6345,812,3
2250,-7332,639,3
5120,-8640,871,3
4440,-6864,748,3
586,-7628,461,3
798,-8893,792,3
292,-6257,655,3
2570,-11929,702,3
723,-11949,848,3
1070,-5750,613,3
2410,-8028,786,3
1930,-9532,859,3
570,-5862,763,3
3900,-6487,541,3
1100,-9532,871,3
1960,-9147,526,3
5740,-13050,951,3
2820,-6560,443,3
623,-5218,792,3
3040,-5626,633,3
786,-10638,860,3
2000,-8508,830,3
1060,-6341,338,3
3580,-12261,598,3
677,-5917,922,3
907,-7644,600,3
477,-7541,571,3
6190,-9229,582,3
1970,-5795,935,3
485,-6959,781,3
2150,-4149,663,3
3570,-2639,417,3
2520,-4754,849,3
344,-5600,587,3
1880,-11903,943,3
2010,-7430,701,3
917,-14938,862,3
4280,-6224,723,3
3320,-10138,582,3
4090,-7374,850,3
4030,-8788,760,3
888,-3878,515,3
3440,-5760,961,3
561,-6363,785,3
1880,-3392,709,3
3080,-7080,734,3
1890,-7654,934,3
3230,-9303,680,3
376,-5023,514,3
485,-5912,616,3
1610,-8771,745,3
632,-7934,807,3
1070,-8698,855,3
3420,-3987,619,3
2370,-6453,891,3
1090,-5465,702,3
4480,-5663,864,3
931,-8465,693,3
668,-8514,788,3
4250,-7867,861,3
4210,-5126,671,3
332,-6215,665,3
1810,-6005,814,3
3160,-6961,742,3
3150,-8524,598,3
2510,-7569,787,3
3100,-6866,848,3
3020,-10407,886,3
3660,-2307,740,3
1400,-8391,625,3
1900,-5548,852,3
526,-9675,846,3
2760,-7416,898,3
736,-7746,868,3
3530,-8493,709,3
748,-8410,755,3
2690,-6044,868,3
612,-4150,749,3
2440,-6398,933,3
3390,-8339,591,3
4490,-12087,900,3
2790,-7266,808,3
2440,-10412,750,3
1570,-6191,834,3
4540,-9309,925,3
1450,-7083,908,3
2140,-7605,457,3
4430,-7216,821,3
2560,-4645,968,3
4430,-4678,567,3
1170,-8891,898,3
3100,-6866,848,3
4560,-16038,667,3
836,-4213,781,3
4250,-7867,861,3
3260,-8161,657,3
3790,-6431,881,3
645,-6924,799,3
1410,-7606,812,3
2940,-3524,850,3
2700,-7023,678,3
3690,-7292,878,3
4640,-6880,601,3
3730,-10551,479,3
890,-7778,560,3
3860,-10800,817,3
2580,-8201,454,3
507,-4950,762,3
1320,-6341,379,3
3050,-7551,503,3
2460,-3661,591,3
591,-6831,704,3
2540,-5283,754,3
3120,-6518,900,3
1210,-6256,829,3
785,-6071,657,3
2930,-8812,873,3
948,-6341,640,3
1500,-6255,734,3
3490,-6043,911,3
1380,-11709,681,3
1780,-6813,943,3
2800,-4090,445,3
3290,-6970,663,3
2040,-7408,469,3
4470,-8381,911,3
