speechiness,loudness,danceability,target
4.73,-10.429,73.2,7
6.36,-4.314,31.5,7
3.99,-6.475,58.2,7
13.3,-4.529,47,7
9.04,-7.842,43.7,7
2.9,-5.879,59.4,7
5.39,-4.111,44.6,7
3.19,-8.265,52.3,7
2.95,-4.803,59.5,7
2.86,-9.119,60.1,7
7.72,-4.353,45.6,7
10.5,-5.626,50.6,7
4.13,-7.25,50.1,7
4.98,-4.147,54.9,7
3.36,-7.805,57.4,7
3.36,-6.004,49.4,7
4.03,-10.016,77.8,7
11.7,-3.795,36,7
4.39,-6.102,34.7,7
3.38,-10.696,29,7
4.07,-4.066,37.8,7
2.78,-10.83,46.7,7
5.46,-5.413,49.8,7
9.45,-4.652,41.7,7
3.41,-5.121,56.4,7
4.73,-2.248,39.8,7
3.02,-6.52,41.4,7
2.83,-7.814,50.3,7
4.11,-15.616,39.6,7
3.95,-6.524,43.7,7
9.19,-12.412,43.8,7
16.1,-6.472,93.3,7
12.1,-3.719,27.8,7
5.34,-8.124,77.6,7
8.4,-12.604,79.1,7
3.95,-8.208,79.9,7
8.47,-7.703,79.9,7
11.4,-3.79,66,7
5.12,-3.414,23,7
6.27,-8.003,90.6,7
3.17,-8.777,43,7
2.58,-4.602,55,7
4.49,-11.412,29.6,7
6.46,-8.263,51.5,7
14.6,-4.866,69.6,7
8.55,-3.435,61.3,7
8.73,-4.237,38.9,7
2.83,-11.753,46.7,7
5.46,-11.636,50.9,7
3.46,-9.309,47.6,7
3.17,-4.247,72.1,7
3.52,-12.082,41.5,7
4.26,-7.325,52.5,7
9.45,-4.652,41.7,7
3.48,-9.714,41.7,7
4.48,-7.766,45.4,7
11.3,-1.742,32.3,7
5.68,-16.816,31.2,7
3.54,-8.708,52.7,7
3.51,-5.996,39.1,7
5.38,-5.015,45,7
6.72,-6.345,22.4,7
3.83,-3.739,47.6,7
6.19,-6.094,58.4,7
3.62,-8.867,75.5,7
7.25,-4.253,35.2,7
6.65,-5.58,52.6,7
3.19,-5.787,48.3,7
3.64,-7.877,52,7
3.29,-8.182,38.5,7
3.46,-5.648,64.6,7
6.32,-4.88,61.5,7
4.83,-5.103,47.3,7
2.75,-6.83,46.1,7
14.3,-5.487,41.4,7
3.46,-3.049,40.4,7
3.29,-5.329,56.6,7
15,-5.464,58.9,7
3.67,-12.307,56.7,7
4.07,-4.066,37.8,7
11.2,-7.314,41.7,7
3.17,-8.134,36.7,7
6.8,-7.837,35.6,7
2.74,-8.571,58.6,7
3.01,-5.604,33.8,7
4.37,-4.37,55.1,7
2.81,-6.825,65.3,7
4.28,-6.609,51.9,7
3.89,-7.03,45.4,7
21.4,-9.237,70.2,7
3.94,-8.211,70,7
2.41,-7.954,46.9,7
9.13,-4.243,52.8,7
6.7,-5.511,68.5,7
3.11,-4.551,59.5,7
3.09,-9.505,47.2,7
5.01,-3.686,22,7
5.43,-10.225,49.7,7
3.11,-8.211,26.1,7
7.47,-5.23,35.2,7
