speechiness,loudness,danceability,energy,acousticness,target
829,-4475,814,6590,155000,3
2910,-5284,664,6600,18100000,3
4860,-11308,842,4000,4570000,3
2340,-7227,632,8000,54700000,3
2630,-8116,846,5110,3750000,3
5130,-8906,924,5000,6500000,3
2640,-6345,812,6170,15400000,3
2250,-7332,639,8340,2840000,3
5120,-8640,871,5410,16900000,3
4440,-6864,748,7460,1820000,3
586,-7628,461,4670,766000,3
798,-8893,792,6100,64200000,3
292,-6257,655,4690,17300000,3
2570,-11929,702,4120,20900000,3
723,-11949,848,8380,3260000,3
1070,-5750,613,6860,9520000,3
2410,-8028,786,4600,43800000,3
1930,-9532,859,6350,3560000,3
570,-5862,763,8690,15400000,3
3900,-6487,541,5960,56800000,3
1100,-9532,871,4540,14400000,3
1960,-9147,526,4910,55800000,3
5740,-13050,951,3480,57200000,3
2820,-6560,443,8510,2020000,3
623,-5218,792,7070,11600000,3
3040,-5626,633,5900,3630000,3
786,-10638,860,5470,23100000,3
2000,-8508,830,9070,86700,3
1060,-6341,338,5980,11200000,3
3580,-12261,598,4310,70100000,3
677,-5917,922,5400,13500000,3
907,-7644,600,5630,38700000,3
477,-7541,571,6520,8510000,3
6190,-9229,582,5370,12900000,3
1970,-5795,935,7800,1580000,3
485,-6959,781,5940,1360000,3
2150,-4149,663,7670,13300000,3
3570,-2639,417,9450,36700,3
2520,-4754,849,7800,15800000,3
344,-5600,587,6240,19700000,3
1880,-11903,943,6850,50700,3
2010,-7430,701,5400,55000000,3
917,-14938,862,6390,37600000,3
4280,-6224,723,6160,26500000,3
3320,-10138,582,4920,38100000,3
4090,-7374,850,5900,26400000,3
4030,-8788,760,6580,2960000,3
888,-3878,515,8270,3150000,3
3440,-5760,961,6170,26000000,3
561,-6363,785,6900,3340000,3
1880,-3392,709,9020,3640000,3
3080,-7080,734,4470,21900,3
1890,-7654,934,4590,5160000,3
3230,-9303,680,6790,86800000,3
376,-5023,514,8340,630000,3
485,-5912,616,7530,10600000,3
1610,-8771,745,7750,1440000,3
632,-7934,807,6550,13100000,3
1070,-8698,855,4780,6840000,3
3420,-3987,619,7820,49400000,3
2370,-6453,891,8800,2040000,3
1090,-5465,702,6970,1440000,3
4480,-5663,864,6820,38800000,3
931,-8465,693,6480,958000,3
668,-8514,788,5230,79200000,3
4250,-7867,861,6560,10400000,3
4210,-5126,671,6440,31700000,3
332,-6215,665,6300,12800000,3
1810,-6005,814,6790,19500000,3
3160,-6961,742,5360,25700000,3
3150,-8524,598,7910,86700000,3
2510,-7569,787,7200,22200000,3
3100,-6866,848,7580,25200000,3
3020,-10407,886,5340,8480000,3
3660,-2307,740,9190,42200000,3
1400,-8391,625,6240,17900000,3
1900,-5548,852,6590,425000,3
526,-9675,846,5990,29400,3
2760,-7416,898,5860,100000,3
736,-7746,868,6380,14600000,3
3530,-8493,709,5480,65000000,3
748,-8410,755,5120,29400000,3
2690,-6044,868,7950,120000,3
612,-4150,749,7230,614000,3
2440,-6398,933,5260,879000,3
3390,-8339,591,8550,832000,3
4490,-12087,900,4870,1650000,3
2790,-7266,808,6390,8020000,3
2440,-10412,750,4180,14900000,3
1570,-6191,834,7590,17800000,3
4540,-9309,925,4630,6810000,3
1450,-7083,908,6460,985000,3
2140,-7605,457,5630,11700000,3
4430,-7216,821,3390,31700000,3
2560,-4645,968,7930,136000,3
4430,-4678,567,8260,34200000,3
1170,-8891,898,5600,238000,3
3100,-6866,848,7580,25200000,3
4560,-16038,667,2490,1660000,3
836,-4213,781,7260,2990000,3
4250,-7867,861,6560,10400000,3
3260,-8161,657,4790,83300000,3
3790,-6431,881,6910,13000000,3
